avis,texte_clean,sentiment,label,application,note
très belle application. bonne société. beaucoup de chance à vous 🥰,très belle application. bonne société. beaucoup de chance à vous,positive,2,inDriver,5
Bug constant et vol des bankiers,bug constant et vol des bankiers,negative,0,Attijari Mobile,1
c'est surtout beravo,c'est surtout beravo,positive,2,Marjane,5
Application pleine d'anomalies et de failles de sécurité. Exemple: l'application ne se déconnecte pas automatiquement si elle est en arrièr plan (meme si on configure la déconnexion automatique !). Ergonomie 0 par rapport aux autres appli du marché bancaire !! La version web est pire encore !,application pleine d'anomalies et de failles de sécurité. exemple l'application ne se déconnecte pas automatiquement si elle est en arrièr plan meme si on configure la déconnexion automatique ! . ergonomie par rapport aux autres appli du marché bancaire ! la version web est pire encore !,negative,0,BMCE Direct,1
cette application est excellente vraiment très efficace bravo à vous tous,cette application est excellente vraiment très efficace bravo à vous tous,positive,2,CIH Mobile,5
Bug trop souvent. Dernier en date 8/01. Mon identifiant n'est pas autorisé à accéder au compte. J'essaie d'envoyer un mail en passant par contact. Ça ne fonctionne pas non plus. Ça en devient vraiment risible tellement il y a de problèmes !!,bug trop souvent. dernier en date . mon identifiant n'est pas autorisé à accéder au compte. j'essaie d'envoyer un mail en passant par contact. ça ne fonctionne pas non plus. ça en devient vraiment risible tellement il y a de problèmes !,negative,0,BMCE Direct,1
J'adorais cette application au début mais dernièrement à chaque fois que je commande je retrouve toujours des trucs manquants comme des boissons des accompagnements et c'est toujours comme sa je voudrais bien signaler sa mais il faut que vous télechargé une photo du reçus mais ce bouton ne marche pas!! vous perdez votre argent pour rien je suis très déçu.,j'adorais cette application au début mais dernièrement à chaque fois que je commande je retrouve toujours des trucs manquants comme des boissons des accompagnements et c'est toujours comme sa je voudrais bien signaler sa mais il faut que vous télechargé une photo du reçus mais ce bouton ne marche pas! vous perdez votre argent pour rien je suis très déçu.,negative,0,Glovo,2
Le service client ne sert à rien,le service client ne sert à rien,negative,0,Attijari Mobile,1
"Bonjour, L'application fonctionne mal depuis hier soir. Elle n'est pas à jour, les dernières opérations sur l'application datent du 30/03/2026. En plus quand je veux exécuter une opération, elle m'affiche :""un problème technique est survenu, veuillez réessayer"".","bonjour, l'application fonctionne mal depuis hier soir. elle n'est pas à jour, les dernières opérations sur l'application datent du . en plus quand je veux exécuter une opération, elle m'affiche un problème technique est survenu, veuillez réessayer .",negative,0,Attijari Mobile,1
Offres et prix imbattables,offres et prix imbattables,positive,2,Marjane,5
on fait comment pour créer un compte,on fait comment pour créer un compte,positive,2,Jumia,5
ses très magnifique,ses très magnifique,positive,2,inDriver,5
"c'est un très bon chauffeur ,","c'est un très bon chauffeur ,",positive,2,inDriver,5
très bonne application je vous le recommande,très bonne application je vous le recommande,positive,2,inDriver,5
très bon surtout au niveau du coût,très bon surtout au niveau du coût,positive,2,inDriver,4
j'avais mis 5 étoiles mais SI VOUS AIMEZ RECEVOIR DES PRODUITS MANQUANTS OU ERRONÉS ET VOUS FAIRE BALADER PAR UN SERVICE CLIENTS QUI AU MIEUX VOUS REDEMANDE PLUSIEURS FOIS LES JUSTIFICATIFS OU AU PIRE METS FIN À LA CONVERSATION. ALORS VOUS ÊTES AU BON ENDROITS,j'avais mis étoiles mais si vous aimez recevoir des produits manquants ou erronés et vous faire balader par un service clients qui au mieux vous redemande plusieurs fois les justificatifs ou au pire mets fin à la conversation. alors vous êtes au bon endroits,negative,0,Glovo,1
L'appli la plus débile que j'ai jamais vue,l'appli la plus débile que j'ai jamais vue,negative,0,Orange Money MA,1
"le conducteur a été très gentil ,jovial et conduit bien","le conducteur a été très gentil ,jovial et conduit bien",positive,2,inDriver,5
c'est un bon application,c'est un bon application,positive,2,Glovo,5
"mérite au moins 6 étoile l'aap est simple à utiliser, les commandes se fond en quelques clics et les délais de livraison son très respecté il n'y a pas plus fiable","mérite au moins étoile l'aap est simple à utiliser, les commandes se fond en quelques clics et les délais de livraison son très respecté il n'y a pas plus fiable",positive,2,Jumia,5
C'est une bonne application elle ma fait une facilité à voir tous les prix des produits seulement avec mon téléphone portable et les acheter et aussi elle ma permet de voir tous les soldes et voir les dernières et les nouvelles produits et les nouveaux technologie ❤️ Je vous remercie et je vous souhaite le bonheur et de succès dans vos projets futurs et félicitation pour votre application •🤲,c'est une bonne application elle ma fait une facilité à voir tous les prix des produits seulement avec mon téléphone portable et les acheter et aussi elle ma permet de voir tous les soldes et voir les dernières et les nouvelles produits et les nouveaux technologie je vous remercie et je vous souhaite le bonheur et de succès dans vos projets futurs et félicitation pour votre application,positive,2,Marjane,5
les frais de réduction,les frais de réduction,negative,0,Jumia,2
"Ça fait 1 mois que j'essaye de recharger ma carte mobile et me donne erreur, votre guichet automatique toujours problème technique, je pense que vous êtes les nulles en services banquaires.","ça fait mois que j'essaye de recharger ma carte mobile et me donne erreur, votre guichet automatique toujours problème technique, je pense que vous êtes les nulles en services banquaires.",negative,0,BMCE Direct,1
"les livreurs reporte la livraison quand ils le souhaitent, sous prétexte que c'est le client qui l'a demandé, et après la commande s'annule. Très déçue","les livreurs reporte la livraison quand ils le souhaitent, sous prétexte que c'est le client qui l'a demandé, et après la commande s'annule. très déçue",negative,0,Jumia,1
L'application ne s'ouvre pas c'est bien dommage,l'application ne s'ouvre pas c'est bien dommage,negative,0,Marjane,1
service pratique et fluide.,service pratique et fluide.,positive,2,Attijari Mobile,5
meeci pour votre fidélité,meeci pour votre fidélité,positive,2,My inwi,5
"Service client qui ne cherche pas à comprendre la situation, pas de remboursement alors que commande jamais arrivée. Les Ceo de la boîte sont des voleurs ils apprennent aux agents de nous couper la conversation. Inadmissible pour une entreprise internationale qui veut concurrencer les plus grands . Pour moi, qui travaille dans les services c'est juste décevant de répondre comme ça. Pas de remerciement de ma part ni cordialité.","service client qui ne cherche pas à comprendre la situation, pas de remboursement alors que commande jamais arrivée. les ceo de la boîte sont des voleurs ils apprennent aux agents de nous couper la conversation. inadmissible pour une entreprise internationale qui veut concurrencer les plus grands . pour moi, qui travaille dans les services c'est juste décevant de répondre comme ça. pas de remerciement de ma part ni cordialité.",negative,0,Glovo,1
Dysfonctionnement de l'application de temps en temps,dysfonctionnement de l'application de temps en temps,negative,0,CIH Mobile,1
ne s'ouvre plus depuis la dernière mise à jour .,ne s'ouvre plus depuis la dernière mise à jour .,negative,0,CIH Mobile,1
Merci de revoir le comportement de vis livreurs ils sont très insolents parfois,merci de revoir le comportement de vis livreurs ils sont très insolents parfois,positive,2,Glovo,4
Retard de livraison jusqu'à 18h et plus !!!!!,retard de livraison jusqu'à 18h et plus !,negative,0,Marjane,1
magnifique la nouvelle version,magnifique la nouvelle version,positive,2,Attijari Mobile,5
Parfait Rien à dire,parfait rien à dire,positive,2,Attijari Mobile,5
rien à signaler tout est excellent,rien à signaler tout est excellent,positive,2,inDriver,5
merci de rajouter les operations avenir,merci de rajouter les operations avenir,positive,2,BMCE Direct,5
Il ya toujours échec de conection avec le serveur ça ne réussit que rarement,il ya toujours échec de conection avec le serveur ça ne réussit que rarement,negative,0,BMCE Direct,1
prk mise a jouré pas?,prk mise a jouré pas?,positive,2,inDriver,5
Très belle application c'est une excellente idée,très belle application c'est une excellente idée,positive,2,Marjane,5
Bonne application pour les personnes qui veulent être livrer chez eux !!!,bonne application pour les personnes qui veulent être livrer chez eux !,positive,2,Glovo,5
"Les bugs à chaque tentative d'utilisation, l'appli se ferme toute seule surtout après la dernière mise à jour, liste de produits incomplète, moteur de recherche archaïque et nul de chez nul ......","les bugs à chaque tentative d'utilisation, l'appli se ferme toute seule surtout après la dernière mise à jour, liste de produits incomplète, moteur de recherche archaïque et nul de chez nul .",negative,0,Marjane,1
Application utile. J'aime bien la fonctionnalité de proposition de prix. Mais encore beaucoup d'amélioration à apporter,application utile. j'aime bien la fonctionnalité de proposition de prix. mais encore beaucoup d'amélioration à apporter,positive,2,inDriver,5
vraiment mal mal à côté de respect 0 c'est grave,vraiment mal mal à côté de respect c'est grave,negative,0,inDriver,1
de mieux en mieux,de mieux en mieux,positive,2,CIH Mobile,4
merci pour ton service,merci pour ton service,positive,2,My inwi,5
très bonne application 👍,très bonne application,positive,2,Avito,5
Le problème se pose quand la livraison arrive et vous dite qu'on peu pas ouvrir et vérifier c'est vraiment pas logique d'acheter sans vérifier,le problème se pose quand la livraison arrive et vous dite qu'on peu pas ouvrir et vérifier c'est vraiment pas logique d'acheter sans vérifier,negative,0,Jumia,1
"Après le mois de février 2026, l'application est devenue hors service pour recharger le compte.","après le mois de février , l'application est devenue hors service pour recharger le compte.",negative,0,Orange Money MA,1
"Franchement Jumia sait se démarquer de la concurrence vous êtes fiable, prix abordable mais là où je dois venir c'est par rapport à la diversité des articles avoir de vrai il n'y a pas assez d'articles quand j'ai dit assez je veux dire que c'est pas assez diversifié certes il y en a des articles mais pour une plateforme de ce genre la diversité et l'accessibilité à certains articles peut favoriser grandement l'entreprise c'était un peu ce que j'avais à dire","franchement jumia sait se démarquer de la concurrence vous êtes fiable, prix abordable mais là où je dois venir c'est par rapport à la diversité des articles avoir de vrai il n'y a pas assez d'articles quand j'ai dit assez je veux dire que c'est pas assez diversifié certes il y en a des articles mais pour une plateforme de ce genre la diversité et l'accessibilité à certains articles peut favoriser grandement l'entreprise c'était un peu ce que j'avais à dire",positive,2,Jumia,4
"Application inutilisable. Lors de la prise du selfie, un message d’erreur indique que les permissions ne sont pas autorisées, alors qu’elles le sont depuis le début. Après plusieurs vérifications et réinstallations, rien ne fonctionne. Le service à la clientèle propose des solutions dépassées. Perte de temps totale et incompétence flagrante. Une banque incapable d’offrir une application fonctionnelle et un support compétent en 2026 pose un sérieux problème !!","application inutilisable. lors de la prise du selfie, un message d erreur indique que les permissions ne sont pas autorisées, alors qu elles le sont depuis le début. après plusieurs vérifications et réinstallations, rien ne fonctionne. le service à la clientèle propose des solutions dépassées. perte de temps totale et incompétence flagrante. une banque incapable d offrir une application fonctionnelle et un support compétent en pose un sérieux problème !",negative,0,CIH Mobile,1
"problème de réseau,toujours en panne","problème de réseau,toujours en panne",negative,0,BMCE Direct,1
"Franchement rien a dire,très satisfait du service.merci a vous","franchement rien a dire,très satisfait du service.merci a vous",positive,2,My inwi,5
je suis satisfait de jumia,je suis satisfait de jumia,positive,2,Jumia,5
franchement hyper nul j'ai énormément de soucis avec les livreurs et le service client qui ne fait pas son travail nul nul nul j'ai des frais abusif sur mon compte ce qui s'apparente à du vol car il me force à prendre leur forfait glovo prime,franchement hyper nul j'ai énormément de soucis avec les livreurs et le service client qui ne fait pas son travail nul nul nul j'ai des frais abusif sur mon compte ce qui s'apparente à du vol car il me force à prendre leur forfait glovo prime,negative,0,Glovo,1
l'application n'a pas compatible avec mon téléphone à denier mise à jour :(,l'application n'a pas compatible avec mon téléphone à denier mise à jour,negative,0,Attijari Mobile,1
Les paire de crampons que j'ai commandé c'est du poubelle 😡😭,les paire de crampons que j'ai commandé c'est du poubelle,positive,2,Jumia,4
mon téléphone ne supporte plus la nouvelle version. quoi faire stp ?,mon téléphone ne supporte plus la nouvelle version. quoi faire stp ?,negative,0,Attijari Mobile,1
"Pas possible de payé la facture de plui l'étranger. Carte bancaire pas acceptée,erreur(99)","pas possible de payé la facture de plui l'étranger. carte bancaire pas acceptée,erreur",negative,0,My inwi,1
Bonsoir une belle application,bonsoir une belle application,neutral,1,Jumia,3
service impeccable mais revoyez le tarif des livraisons,service impeccable mais revoyez le tarif des livraisons,positive,2,Glovo,4
Très bonne application 👏👏👏,très bonne application,positive,2,Jumia,5
"Bonjour, je viens de passer ma première commande depuis l application mobile. Très belle expérience et livraison au top. Bravo et merci pour l efficacité et le temps gagné.","bonjour, je viens de passer ma première commande depuis l application mobile. très belle expérience et livraison au top. bravo et merci pour l efficacité et le temps gagné.",positive,2,Marjane,5
"il n'y a pas la possibilité ni de payer les factures internet de maroc telecom pour les numeros de telephones orange, ni la possibilitè de payer Redal","il n'y a pas la possibilité ni de payer les factures internet de maroc telecom pour les numeros de telephones orange, ni la possibilitè de payer redal",negative,0,BMCE Direct,2
pas de confiance mais je suis obligé,pas de confiance mais je suis obligé,negative,0,Glovo,1
Je me demande pourquoi la BMCE ne veut pas désactiver l envoi des courriers alors je en ai plus besoin et que je ai changé de domicile,je me demande pourquoi la bmce ne veut pas désactiver l envoi des courriers alors je en ai plus besoin et que je ai changé de domicile,negative,0,BMCE Direct,1
bon conducteur et ponctuel,bon conducteur et ponctuel,positive,2,inDriver,5
Permet de faciliter un peu la vie toutefois le paiement de redal en ligne n'est pas possible.,permet de faciliter un peu la vie toutefois le paiement de redal en ligne n'est pas possible.,neutral,1,BMCE Direct,3
trop de problèmes techniques indisponibilité d'accès dans plusieurs sections de l'app 👎👎👎,trop de problèmes techniques indisponibilité d'accès dans plusieurs sections de l'app,negative,0,Attijari Mobile,1
tres rapide efficient tres bien,tres rapide efficient tres bien,positive,2,Glovo,5
très mauvaise expérience,très mauvaise expérience,negative,0,Glovo,1
"le service est devenu de pire en pire, ma commande a été annulée et je n'ai pas été remboursé parce que j'ai voulu changer d'adresse et il ne m'ont pas laissé","le service est devenu de pire en pire, ma commande a été annulée et je n'ai pas été remboursé parce que j'ai voulu changer d'adresse et il ne m'ont pas laissé",negative,0,Glovo,2
une bonne application,une bonne application,neutral,1,Jumia,3
j'ai toujours aimé utiliser jumia,j'ai toujours aimé utiliser jumia,positive,2,Jumia,5
très mauvais service. prix très très exagéré,très mauvais service. prix très très exagéré,negative,0,My inwi,1
Le paiement et recharges Maroc Telecom non disponibles pourquoi?,le paiement et recharges maroc telecom non disponibles pourquoi?,neutral,1,BMCE Direct,3
l'application met automatiquement l'adresse de la personne comme lieu de livraison alors que l'adresse et le lieu de livraison peuvent être différents,l'application met automatiquement l'adresse de la personne comme lieu de livraison alors que l'adresse et le lieu de livraison peuvent être différents,positive,2,Jumia,4
Impossible de procéder au paiement de factures. Pourquoi ?,impossible de procéder au paiement de factures. pourquoi ?,negative,0,BMCE Direct,1
Super utile pour tout,super utile pour tout,positive,2,Jumia,5
la durée de livraison est très longue,la durée de livraison est très longue,positive,2,Jumia,5
L'application ne fonctionne pas avec les autres réseaux 😔,l'application ne fonctionne pas avec les autres réseaux,positive,2,My inwi,4
ça ne fonctionne pas cette version avec Mon téléphone 👎👎👎,ça ne fonctionne pas cette version avec mon téléphone,negative,0,Attijari Mobile,1
"Belle application, bien pensée.","belle application, bien pensée.",positive,2,My inwi,5
réussie elle informé la clientèle des bonnes affaires,réussie elle informé la clientèle des bonnes affaires,positive,2,Marjane,5
je préfère faire mes achats ici,je préfère faire mes achats ici,negative,0,Jumia,1
Bug depuis dernière mise à jour,bug depuis dernière mise à jour,negative,0,Glovo,2
"jumia est dispensée de l'usage des factures normalisée en tant qu'entreprise de vente à rayons multiples, c'est une entreprise très utiles pour notre achat des articles jusqu'à chez nous.","jumia est dispensée de l'usage des factures normalisée en tant qu'entreprise de vente à rayons multiples, c'est une entreprise très utiles pour notre achat des articles jusqu'à chez nous.",positive,2,Jumia,5
Application super bonne facile a l'utiliser partout pour tous et a tout le temps. j'achète et je profitai toujours des offres sur les annonces et j'ai vendu même des jouets grace à AVITO .,application super bonne facile a l'utiliser partout pour tous et a tout le temps. j'achète et je profitai toujours des offres sur les annonces et j'ai vendu même des jouets grace à avito .,positive,2,Avito,5
mauvaise expérience ! les tarifs c'est trop cher,mauvaise expérience ! les tarifs c'est trop cher,negative,0,Yassir,1
Pourquoi on peut pas voir les mouvements bancaire entre 01h00 et 06h00 du matin ??!!!,pourquoi on peut pas voir les mouvements bancaire entre 01h00 et 06h00 du matin !,negative,0,BMCE Direct,1
j'ai changé de téléphone du coup l'application est plus compatible avec ma version à savoir que j'ai un téléphone plus récent.,j'ai changé de téléphone du coup l'application est plus compatible avec ma version à savoir que j'ai un téléphone plus récent.,negative,0,Attijari Mobile,1
les livreur sont impoli et même pour les commandes ils réponds quand ils veulent,les livreur sont impoli et même pour les commandes ils réponds quand ils veulent,negative,0,Glovo,1
L'application est très bien !,l'application est très bien !,positive,2,Jumia,5
parfait merci beaucoup,parfait merci beaucoup,positive,2,CIH Mobile,5
Marin pêcheure merci poire ce cadeaux vous est sympa wallah j ai besoin de ce cadeaux,marin pêcheure merci poire ce cadeaux vous est sympa wallah j ai besoin de ce cadeaux,positive,2,Marjane,5
mauvaise application beaucoup des arnaques,mauvaise application beaucoup des arnaques,negative,0,inDriver,1
L'état réel n'est pas reflété directement. Le retard de la mise à jour des opérations bancaires enduit en erreur.,l'état réel n'est pas reflété directement. le retard de la mise à jour des opérations bancaires enduit en erreur.,negative,0,BMCE Direct,2
Le service de livraison Glovo est rapide et pratique. Les livreurs sont souvent ponctuels et les commandes arrivent bien emballées. Très utile pour se faire livrer facilement ! 👍📦✨,le service de livraison glovo est rapide et pratique. les livreurs sont souvent ponctuels et les commandes arrivent bien emballées. très utile pour se faire livrer facilement !,positive,2,Glovo,5
aide à développer,aide à développer,positive,2,Jumia,5
"très bon service. précis, facilite la vie pour des prix très raisonnables","très bon service. précis, facilite la vie pour des prix très raisonnables",positive,2,Glovo,5
meilleur application sur Maroc pour vendre ou acheter,meilleur application sur maroc pour vendre ou acheter,positive,2,Avito,5
bonjour je suis eurege,bonjour je suis eurege,positive,2,Glovo,5
Bonjour ce matin j'etais a marjane bouregreg le produits sois disans de fidelite reien de tous ca j'ai passe ma carte pour le produit plongeur mixeur taurus vu sur le depliant et je l' ai paye plein tarif c'est de l'arnaque pure et simple quand j'ai demande aucune reponse satisfaisante,bonjour ce matin j'etais a marjane bouregreg le produits sois disans de fidelite reien de tous ca j'ai passe ma carte pour le produit plongeur mixeur taurus vu sur le depliant et je l' ai paye plein tarif c'est de l'arnaque pure et simple quand j'ai demande aucune reponse satisfaisante,negative,0,Marjane,1
Très bonne expérience,très bonne expérience,positive,2,CIH Mobile,5
application facile avec tous les choix dont on a besoin merci,application facile avec tous les choix dont on a besoin merci,positive,2,CIH Mobile,5
souvent les montants sont élevés,souvent les montants sont élevés,positive,2,inDriver,4
je vais plus jamais commander la sauce de viande de brousse . j'ai reçu que 2 petit morceau de viande a 6000f . trop abusé,je vais plus jamais commander la sauce de viande de brousse . j'ai reçu que petit morceau de viande a 6000f . trop abusé,negative,0,Glovo,1
Plus efficace plus simple et plus rapide,plus efficace plus simple et plus rapide,positive,2,BMCE Direct,4
mauvaise service clientel j ai un probleme d application my inwi depuis mais 2025 et n'a pas de solution jusqu a ce jour toujours la meme reponse ( j informe le superieur),mauvaise service clientel j ai un probleme d application my inwi depuis mais et n'a pas de solution jusqu a ce jour toujours la meme reponse j informe le superieur,negative,0,My inwi,1
Je suis très satisfait de la crédibilité et la réactivité de ma banque,je suis très satisfait de la crédibilité et la réactivité de ma banque,positive,2,Attijari Mobile,5
Mauvaise configuration du l'application.,mauvaise configuration du l'application.,negative,0,Attijari Mobile,1
aucun respect des horaires aucun respect de client. localisation de livreur et pas correct au temp réel,aucun respect des horaires aucun respect de client. localisation de livreur et pas correct au temp réel,negative,0,Glovo,1
Des prélèvements non expliquer,des prélèvements non expliquer,negative,0,Attijari Mobile,1
"On n'arrive pas à évaluer les coursiers, aussi les restaurants n'ameliorent pas leur offre malgré les mauvaises notes.","on n'arrive pas à évaluer les coursiers, aussi les restaurants n'ameliorent pas leur offre malgré les mauvaises notes.",neutral,1,Glovo,3
Application moyenne pas très bonne ou très mauvaise,application moyenne pas très bonne ou très mauvaise,neutral,1,Marjane,3
toujours echec de connection avec le serveur,toujours echec de connection avec le serveur,negative,0,BMCE Direct,1
"Quand je veux payer ma commande en espèce c'est la deuxième fois que ça me met je cite : ""Erreur. Réessayer plus tard. Ajouter une carte ou essayer un autre moyen de paiement "" alors que je ne peux pas payer par carte je le fais par éspèce, ce problème empêche de faire toute commande","quand je veux payer ma commande en espèce c'est la deuxième fois que ça me met je cite erreur. réessayer plus tard. ajouter une carte ou essayer un autre moyen de paiement alors que je ne peux pas payer par carte je le fais par éspèce, ce problème empêche de faire toute commande",negative,0,Glovo,1
j'ai eu assez de difficulté avant de commander,j'ai eu assez de difficulté avant de commander,neutral,1,Jumia,3
service nul je recommande pas,service nul je recommande pas,negative,0,Yassir,1
pour le moment c'est bien. voitures disponibles et prix discutables. pour le moment en tout cas ca va. nous sommes les 10 Mai 2026,pour le moment c'est bien. voitures disponibles et prix discutables. pour le moment en tout cas ca va. nous sommes les mai,positive,2,inDriver,4
Vraiment c'est très utile,vraiment c'est très utile,positive,2,Avito,5
Merci bq pour cette application,merci bq pour cette application,positive,2,Marjane,5
frais de livraison trop cher,frais de livraison trop cher,positive,2,Jumia,4
impossible de saisir code confidentiel sur tab,impossible de saisir code confidentiel sur tab,negative,0,CIH Mobile,1
trop de bugs depuis une semaine j'essaie de m'inscrire mais ça passe pas. arrivée un niveau de la vérification des photos ça bloque. veuillez corriger cela s'il vous plaît,trop de bugs depuis une semaine j'essaie de m'inscrire mais ça passe pas. arrivée un niveau de la vérification des photos ça bloque. veuillez corriger cela s'il vous plaît,neutral,1,inDriver,3
"Après avoir vidé le cache, on peut enfin accéder au magasin pour commander. Mais cette appli est une catastrophe. On ne peut pas commander si on est à rabat alors que marjane hay ryad est à côté de chez moi. C'est indigne de la part de la première grande surface du Maroc. Et je ne vois parle pas des nombreux bugs de l'appli.","après avoir vidé le cache, on peut enfin accéder au magasin pour commander. mais cette appli est une catastrophe. on ne peut pas commander si on est à rabat alors que marjane hay ryad est à côté de chez moi. c'est indigne de la part de la première grande surface du maroc. et je ne vois parle pas des nombreux bugs de l'appli.",negative,0,Marjane,1
merci beaucoup pour votre service rien à dire,merci beaucoup pour votre service rien à dire,positive,2,CIH Mobile,5
"les points de fidelité ont augmenté du double du tarif precedent, j ai pas aimé","les points de fidelité ont augmenté du double du tarif precedent, j ai pas aimé",positive,2,My inwi,5
j'apprécie la fiabilité,j'apprécie la fiabilité,positive,2,Jumia,5
"L'application est très bien. Problème à résoudre : quand on veut recharger ma carte ou recharger la carte d'un proche, l'application vibre et devient instable. Merci de corriger ce bug.","l'application est très bien. problème à résoudre quand on veut recharger ma carte ou recharger la carte d'un proche, l'application vibre et devient instable. merci de corriger ce bug.",positive,2,Marjane,4
a môn avie belle experience,a mo n avie belle experience,positive,2,inDriver,5
beaucoup de bug,beaucoup de bug,negative,0,BMCE Direct,1
"je n'ai jamais eu un problème depuis que j'ai créé mon compte, ça va faire maintenant 3 ans","je n'ai jamais eu un problème depuis que j'ai créé mon compte, ça va faire maintenant ans",positive,2,CIH Mobile,5
jumia c'est une application très très très très très très très rapide et puis je le dis encore c'est pas si ce téléphone que j'ai commencé à acheter sur jumia jusqu'à maintenant jumia c'était c'était l'application très très très très très application je veux pas discuter c'est une application très très efficace il y a rien à dire,jumia c'est une application très très très très très très très rapide et puis je le dis encore c'est pas si ce téléphone que j'ai commencé à acheter sur jumia jusqu'à maintenant jumia c'était c'était l'application très très très très très application je veux pas discuter c'est une application très très efficace il y a rien à dire,positive,2,Jumia,5
rapide et tres calire,rapide et tres calire,positive,2,CIH Mobile,5
excellent pour achat et vente,excellent pour achat et vente,positive,2,Avito,5
très belle application simple et claire,très belle application simple et claire,positive,2,Avito,5
très très bien,très très bien,positive,2,Glovo,5
Satisfait des services de AWB,satisfait des services de awb,positive,2,Attijari Mobile,5
Super et pratique,super et pratique,positive,2,Marjane,5
Edit : Une nouvelle mise à jour et toujours pas la possibilité de connaître l'état de sa dotation ! -------------- Si seulement on peut connaître l'état de la dotation annuelle de la carte E-Pay depuis l'application !,edit une nouvelle mise à jour et toujours pas la possibilité de connaître l'état de sa dotation ! -------------- si seulement on peut connaître l'état de la dotation annuelle de la carte e-pay depuis l'application !,positive,2,BMCE Direct,4
Le conducteur n'est pas protégé contre le vol et le meurtre.,le conducteur n'est pas protégé contre le vol et le meurtre.,negative,0,inDriver,1
très facile avec jumia,très facile avec jumia,positive,2,Jumia,4
L'application est juste parfaite et très facile à utiliser,l'application est juste parfaite et très facile à utiliser,positive,2,Jumia,5
L'ouverture d'un compte bancaire en ligne ce n'ai pas 💯 pour 💯 digital.,l'ouverture d'un compte bancaire en ligne ce n'ai pas pour digital.,negative,0,Attijari Mobile,2
pas de performance souhaité,pas de performance souhaité,negative,0,BMCE Direct,2
très mouvais application,très mouvais application,negative,0,Yassir,1
bien fait bon continuation,bien fait bon continuation,positive,2,Avito,5
ne fonctionne pas .. impossible de créé un compte .. de la publication mensongère !,ne fonctionne pas . impossible de créé un compte . de la publication mensongère !,negative,0,Orange Money MA,1
c'est chauffeur exceptionnel,c'est chauffeur exceptionnel,positive,2,inDriver,4
"je suis satisfait, Merci","je suis satisfait, merci",positive,2,CIH Mobile,5
j’aime l’entreprise,j aime l entreprise,negative,0,Jumia,2
pourquoi l'application ne fonctionne pas???,pourquoi l'application ne fonctionne pas?,negative,0,Attijari Mobile,2
franchement vous êtes des professionnels !!service de qualité !continue comme ça !,franchement vous êtes des professionnels !service de qualité !continue comme ça !,positive,2,Glovo,4
Super site de shopping,super site de shopping,positive,2,Jumia,4
très chic pour effectuer des achats,très chic pour effectuer des achats,positive,2,Jumia,5
"Cette apk profite au client ne le utilise pas,😤😤","cette apk profite au client ne le utilise pas,",negative,0,Orange Money MA,1
c est très doux,c est très doux,positive,2,Glovo,4
"Le service de livraison est une catastrophe, les prix sont toujours plus cher que la réalité","le service de livraison est une catastrophe, les prix sont toujours plus cher que la réalité",negative,0,Marjane,1
"Application ne marche plus ayant signalé la mise à jour mais quand j'ai essayé de désinstaller et de réinstaller sa demande toujours de faire une mise à jour, Après intervention du service concerné africabank, le problème à été résolu, mais, 2 à 3 semaines après le problème récidive, de nouveau l'application ne marche plus, plusieurs contacts par courriels, on me répond, qu'on allait me contacter, mais jusqu'à présent rien n'est fait","application ne marche plus ayant signalé la mise à jour mais quand j'ai essayé de désinstaller et de réinstaller sa demande toujours de faire une mise à jour, après intervention du service concerné africabank, le problème à été résolu, mais, à semaines après le problème récidive, de nouveau l'application ne marche plus, plusieurs contacts par courriels, on me répond, qu'on allait me contacter, mais jusqu'à présent rien n'est fait",neutral,1,BMCE Direct,3
Top du top. Meilleur service.,top du top. meilleur service.,positive,2,My inwi,5
"bonne aplication de taxi avec chauffeur, je vous le conseille","bonne aplication de taxi avec chauffeur, je vous le conseille",positive,2,inDriver,5
le premier application du Maroc mieux que glovo,le premier application du maroc mieux que glovo,positive,2,Yassir,5
"Qui cherche bien à avito trouve de bonne choses, oui 😊","qui cherche bien à avito trouve de bonne choses, oui",positive,2,Avito,5
L'application ne s'ouvre pas malgré plusieurs essais. Merci de corriger ce bug,l'application ne s'ouvre pas malgré plusieurs essais. merci de corriger ce bug,negative,0,Marjane,1
mauvaise application pourquoi mentir,mauvaise application pourquoi mentir,negative,0,BMCE Direct,1
"Ergonomique, Informative et très pratique.","ergonomique, informative et très pratique.",positive,2,My inwi,5
Merci de prévoir un suivi instantané du solde de compte cela prête à confusion lorsqu'on a pas de visibilité réelle sur les mouvements non apparant.,merci de prévoir un suivi instantané du solde de compte cela prête à confusion lorsqu'on a pas de visibilité réelle sur les mouvements non apparant.,neutral,1,BMCE Direct,3
Parcqi l est fai bien li beau travail et eli pratic ci facile a utilisi et ne monge pa le batri,parcqi l est fai bien li beau travail et eli pratic ci facile a utilisi et ne monge pa le batri,positive,2,BMCE Direct,5
satisfaite vraiment bravo,satisfaite vraiment bravo,positive,2,Glovo,5
application qui offre plusieurs services Très satisfait,application qui offre plusieurs services très satisfait,positive,2,BMCE Direct,5
"Excellente application. Aujourd'hui, je transfère mon argent à n'importe qui avec un simple clic. Merci Orange Money...","excellente application. aujourd'hui, je transfère mon argent à n'importe qui avec un simple clic. merci orange money.",positive,2,Orange Money MA,5
Cette application est bloquée,cette application est bloquée,negative,0,BMCE Direct,1
